from:0x020b322c kind:load to:0x0208875c module:overlays(22,24)
from:0x020b3230 kind:load to:0x020b5558 module:overlay(34)
from:0x020b3238 kind:thumb_call_arm to:0x02023c00 module:main
from:0x020b3246 kind:thumb_call to:0x020b32ac module:overlay(34)
from:0x020b3250 kind:thumb_call to:0x020a4798 module:overlay(22)
from:0x020b3256 kind:thumb_call to:0x020b50b4 module:overlay(34)
from:0x020b3264 kind:load to:0x0209fb25 module:overlay(22)
from:0x020b326a kind:thumb_call_arm to:0x02023c00 module:main
from:0x020b327a kind:thumb_call_arm to:0x02051fc8 module:overlay(2)
from:0x020b328a kind:thumb_call_arm to:0x02051fc8 module:overlay(2)
from:0x020b3290 kind:thumb_call to:0x020b510c module:overlay(34)
from:0x020b3296 kind:thumb_call to:0x0209fab4 module:overlay(22)
from:0x020b32a8 kind:load to:0x020b5660 module:overlay(34)
from:0x020b32b2 kind:thumb_call_arm to:0x02023c00 module:main
from:0x020b32f2 kind:thumb_call_arm to:0x0202b850 module:main
from:0x020b3308 kind:thumb_call to:0x0202b914 module:main
from:0x020b3318 kind:thumb_call to:0x0202b914 module:main
from:0x020b3368 kind:thumb_call_arm to:0x0202bfcc module:main
from:0x020b3372 kind:thumb_call to:0x0202d968 module:main
from:0x020b33a0 kind:thumb_call_arm to:0x02016f10 module:main
from:0x020b33c6 kind:thumb_call_arm to:0x02016f10 module:main
from:0x020b33ea kind:thumb_call_arm to:0x02016f10 module:main
from:0x020b343e kind:thumb_call to:0x0209f6e0 module:overlay(22)
from:0x020b3448 kind:load to:0x020b5660 module:overlay(34)
from:0x020b3450 kind:load to:0x020b55d4 module:overlay(34)
from:0x020b3454 kind:load to:0x020b55e8 module:overlay(34)
from:0x020b3458 kind:load to:0x020b360c module:overlay(34)
from:0x020b3460 kind:load to:0x020b3784 module:overlay(34)
from:0x020b3464 kind:load to:0x020b3c70 module:overlay(34)
from:0x020b3468 kind:load to:0x020b3495 module:overlay(34)
from:0x020b346c kind:load to:0x020b35e5 module:overlay(34)
from:0x020b3470 kind:load to:0x020b3ca8 module:overlay(34)
from:0x020b3474 kind:load to:0x020b3e94 module:overlay(34)
from:0x020b3478 kind:load to:0x020b3f30 module:overlay(34)
from:0x020b3480 kind:load to:0x020b558c module:overlay(34)
from:0x020b3484 kind:load to:0x020b557c module:overlay(34)
from:0x020b348c kind:load to:0x020b559c module:overlay(34)
from:0x020b34a0 kind:thumb_call to:0x0209fb60 module:overlay(22)
from:0x020b34aa kind:thumb_call_arm to:0x0209fb98 module:overlay(22)
from:0x020b34d0 kind:thumb_call_arm to:0x02051d6c module:overlay(2)
from:0x020b34e6 kind:thumb_call_arm to:0x02051eec module:overlay(2)
from:0x020b34f0 kind:thumb_call to:0x0209fb60 module:overlay(22)
from:0x020b34fa kind:thumb_call_arm to:0x0209fb98 module:overlay(22)
from:0x020b3522 kind:thumb_call_arm to:0x02051d6c module:overlay(2)
from:0x020b35be kind:thumb_call_arm to:0x02051eec module:overlay(2)
from:0x020b35c4 kind:load to:0x020b5660 module:overlay(34)
from:0x020b3658 kind:arm_call to:0x020b5164 module:overlay(34)
from:0x020b3670 kind:arm_call to:0x020b51e0 module:overlay(34)
from:0x020b3688 kind:arm_call to:0x020b5278 module:overlay(34)
from:0x020b36a0 kind:arm_call to:0x020b5310 module:overlay(34)
from:0x020b36c4 kind:arm_call to:0x020a4490 module:overlay(22)
from:0x020b3700 kind:arm_call to:0x020521a4 module:overlay(2)
from:0x020b3728 kind:arm_call to:0x020b5124 module:overlay(34)
from:0x020b3758 kind:arm_call to:0x0202accc module:main
